Login Date,IP Address,User Agent,Login Type
Thu Dec 12 18:06:04 UTC 2024,2601:603:f7f:ad8a:0:0:0:6f,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",Login
Fri Dec 13 19:42:30 UTC 2024,2a09:bac2:c9d8:154b:0:0:21f:36,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.2 Safari/605.1.15",Login
Fri Dec 13 20:07:08 UTC 2024,2a09:bac3:c9de:1d37:0:0:2e9:9d,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.2 Safari/605.1.15",Login
Sun Dec 15 20:06:15 UTC 2024,2a09:bac3:c9de:1caa:0:0:2db:3c,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.2 Safari/605.1.15",Login
Mon Dec 16 17:16:14 UTC 2024,2a09:bac3:65c2:1caa:0:0:2db:eb,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15",Login
Mon Dec 16 18:39:08 UTC 2024,2a09:bac3:c9de:119:0:0:1c:2ae,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.2 Mobile/15E148 Safari/604.1",Login
Thu Dec 19 14:25:21 UTC 2024,2a04:4e41:3:76:0:0:9ce7:60d7,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1",Login
Fri Dec 20 16:21:11 UTC 2024,2a09:bac2:ca6d:1541:0:0:21e:10c,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15",Login
Fri Dec 20 23:41:38 UTC 2024,2a09:bac3:c9de:1537:0:0:21d:3,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.2 Safari/605.1.15",Login
Tue Dec 24 15:23:59 UTC 2024,2a04:4e41:3:76:0:0:20fd:a969,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1",Login
